TaxonName	Body_mass_g_mean	Brain_mass_g_mean
Nycticebus_coucang	6.270947250578205	2.270739581747072
Cercopithecus_neglectus	8.399220619840527	4.156955969682038
Lemur_catta	7.524252458180733	3.085718810445754
Pan_troglodytes	10.550899336536517	5.838185416446463
Delphinapterus_leucas	13.065689434658665	7.560262316713405
Pongo_abelii	10.600820384693796	5.85563594538246
Homo_sapiens	10.79972216884486	7.095252518757591
Gorilla_gorilla	11.315363087813262	6.143482314079964
Macaca_fascicularis	8.146898695790819	4.1660116949576205
Papio_anubis	9.513311948774223	5.034950142404912
Macaca_nemestrina	8.67464632081431	4.64898547743713
Erythrocebus_patas	8.483244292630227	4.4982517017636345
Ateles_geoffroyi	8.79502983085775	4.7027488935523
Chlorocebus_sabaeus	8.121455837424971	4.078862737658604
Tursiops_truncatus	11.410024985078275	7.256426283461354
Nasalis_larvatus	9.176109994336226	4.4568589308989806
Eulemur_fulvus	7.754850940056841	3.268369192197524
Colobus_angolensis	8.959255276807845	4.244612574221356
Macaca_mulatta	8.591245139123997	4.451657939093233
Pithecia_pithecia	7.495492557509866	3.48164424787628
Loxodonta_africana	14.734634567193673	8.350183567586164
Cebus_capucinus	7.64692870345866	4.259286585947015
Rangifer_tarandus	11.532115736470963	5.611642599587686
Onychomys_torridus	3.022347457944781	-0.528652767174714
Mus_musculus	2.8523909874946423	-0.8377888574693226
Cebus_albifrons	7.570664220466376	4.07048829384138
