TaxonName	Body_mass_g_mean	Brain_mass_g_mean
Panthera_tigris	12.266561608806626	5.676521528396792
Pithecia_pithecia	7.256923194613772	3.4362101747580187
Colobus_angolensis	9.176057805500644	4.284699284211842
Saimiri_boliviensis	6.845823285370944	3.2792129582401555
Pygathrix_nemaeus	9.294400772812217	4.558920855297902
Callithrix_jacchus	5.161098943697157	2.009091600628268
Capromys_pilorides	8.223098033237033	2.441741754217886
Cebus_albifrons	7.939486453132332	4.196958171677284
Macaca_fascicularis	8.493067172690168	4.216478749541964
Odocoileus_virginianus	10.516294375277667	4.853572073749867
Pteropus_vampyrus	7.06627939637225	2.28373415940204
Macaca_nemestrina	9.309026888952177	4.7416244482698495
Chlorocebus_sabaeus	8.420149224511555	4.298757755965626
Piliocolobus_tephrosceles	9.159088984721313	4.2723841302133305
Eulemur_fulvus	7.712474235199187	3.330242867159275
Papio_anubis	9.97575628615735	5.246822210050637
Pan_troglodytes	10.778359320778929	5.9831459194431265
Ondatra_zibethicus	6.970630881634918	1.6971652626723803
Erythrocebus_patas	9.18399639663658	4.637595672147899
Cercopithecus_neglectus	8.992815522885078	4.264899364372142
Dasypus_novemcinctus	8.037646159943256	2.445174564110877
Otolemur_garnettii	7.0677462444249235	2.584084634890479
Loxodonta_africana	15.487507322092704	8.683118000146601
Macaca_mulatta	8.889575005173041	4.571573053471286
Cebus_capucinus	7.841423024075456	4.328984212634792
Onychomys_torridus	2.937263909136037	-0.5125418963412747
Ateles_geoffroyi	8.448299240920386	4.59398672534809
Cercocebus_atys	8.227049031471754	4.700315049209657
Mus_musculus	2.8641056676809002	-0.8066640030467908
Gorilla_gorilla	12.074158358262963	6.299139745131916
Alouatta_palliata	8.635537418403835	4.005341249973139
Tursiops_truncatus	11.34181588030886	7.308369287591785
Nasalis_larvatus	9.857479774712457	4.636904771089505
Pongo_abelii	11.284110219307529	6.094574470080533
Homo_sapiens	11.078364086571073	7.20533190368324
Nycticebus_coucang	6.567699913859549	2.457569922624554
